Indicador,"Agropecuario, pesca y minería",Industrias manufactureras,"Energía eléctrica, gas y agua",Construcción,"Comercio, alojamiento y suministro de comidas y bebidas","Transporte y almacenamiento, información y comunicaciones",Otros servicios,Impuestos menos subvenciones,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1
1988-03-31,14759.582106719625,30913.768152642453,5654.3307560737985,11010.351031591123,26768.63228576691,3504.0440382585057,99960.30534003786,,188848.2182863072
1988-06-30,16147.235125300102,32902.2180766975,5851.158725430798,11339.60794043057,26196.04122083072,3759.813676087594,95453.89813208532,,191149.24096342496
1988-09-30,15047.925591099984,34360.4146876712,6088.246961247182,12933.211379213495,24212.422174444633,3663.189590685494,96437.11425018405,,191806.67601403003
1988-12-31,26996.15872511111,34572.51601290374,5618.543852554343,13051.743866395696,30449.574846071,3864.9634160839964,99960.30534003784,,214816.90278520758
1989-03-31,14507.281557886809,29985.824854750095,5318.828535578913,12156.165074352399,27647.968564061775,3779.706870140967,101926.73757623532,,190491.8059128199
1989-06-30,14615.410364529442,34811.13000379035,5171.207558561163,12485.421983191845,26666.383881314025,4089.4723204006405,96600.98360320051,,194436.4162164503
1989-09-30,17372.694933916624,33061.29407062191,5341.195350278572,12287.867837888176,23455.78398149324,3944.536192297491,98485.48116288974,,193285.90487789141
1989-12-31,29176.756325737566,34652.05400986594,5278.568269119526,12301.038114241755,29181.694630855145,4163.361326884599,100451.9133990872,,216953.56669967406
1990-03-31,13299.843217044052,29985.824854750103,5877.998903070388,10404.518319326537,26257.39026350246,4035.4765079700546,105204.12463656442,,190984.8822007737
1990-06-30,13065.56413598501,31894.73678184295,6280.601567664251,10062.091134133512,24498.71770691273,3978.6388106747017,98075.80778034861,,186875.91313449197
1990-09-30,17823.23162826093,34015.75003416833,5135.420655041709,10997.180755237543,24151.0731317729,4021.2670836462166,100697.7174286119,,196901.79765621934
1990-12-31,28618.09082475062,34678.566675520015,6267.181478844455,11352.778216784147,30756.320059429676,4294.08803066391,105777.66737212201,,222870.4821551197
1991-03-31,14867.710913362253,30038.850186058233,5886.945628950251,11194.73490054121,28016.06282009219,3995.6901198633077,105695.7326956138,,195093.8512670554
1991-06-30,14218.938073506446,31762.173453572606,6128.507227706569,12261.52728518102,27647.96856406178,4328.190649041122,102664.14966480936,,196408.72136826554
1991-09-30,16075.149254205005,33856.674040243925,7041.073267452657,11484.480980319926,26564.135476861138,4305.455570122981,105040.25528354796,,203476.14816227005
