Indicador,Gasto de consumo: total,Gasto de consumo: hogares,Gasto de consumo: gobierno y ISFLH,Formación bruta de capital,Formación bruta de capital: fijo,Variación de existencias,Exportaciones de bienes y servicios,Importaciones de bienes y servicios,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,No,No,No,No,No,No,No,No,No
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1
2016-03-31,327112.06685802387,260252.13341736796,66859.9334406559,67143.84040954473,57856.421501935234,9287.418907609492,123247.03245459234,90118.49503581997,427384.4446863409
2016-06-30,326930.3860216507,259673.76659351517,67256.61942813553,81490.66148770996,72408.2703584846,9082.391129225362,123455.79377545563,100770.77817390159,431106.06311091466
2016-09-30,332163.13166084496,262692.904866566,69470.22679427893,63466.2484264096,71532.87044140595,-8066.622014996348,112294.57977363312,91265.44675583886,416658.5131050488
2016-12-31,346749.50950918434,274678.462948979,72071.04656020533,89239.07532219792,91816.85663080291,-2577.7813086049864,106343.5160097375,91074.86734617269,451257.2334949471
2017-03-31,358738.9551005179,283990.9756647921,74747.97943572576,68430.68333871756,67634.59466894435,796.0886697732058,122633.82429784007,89568.73243723126,460234.7302998443
2017-06-30,352950.3818315607,279127.2001070555,73823.1817245052,76276.63385430677,73390.65505227535,2885.9788020314154,118324.69251663418,93401.06241009223,454150.6457924094
2017-09-30,359675.2222946364,284311.61967117834,75363.6026234581,62856.334102888315,70038.05570687003,-7181.721603981714,119735.83194321096,94824.14997065041,447443.2383700853
2017-12-31,377952.1474001681,298110.83408662456,79841.31331354358,84005.37037345223,89956.47286615308,-5951.102492700855,120933.33391217791,102720.53880372971,480170.3128820685
2018-03-31,387949.38920006005,305995.60761157743,81953.78158848263,60257.11972022757,61180.019229726044,-922.8995094984712,133490.33838449683,91122.53804335934,490574.3092614251
2018-06-30,385848.6910239664,304807.58107754076,81041.10994642565,81086.8359036828,74491.83892116045,6594.9969825223525,125894.89311305487,106273.32765788573,486557.0923828184
2018-09-30,396973.13245986786,314982.5810333223,81990.55142654556,72947.71977334411,72788.71511198854,159.00466135557508,128758.01032385149,114237.00064792366,484441.86190913984
2018-12-31,416594.9391086977,328067.9006369527,88527.03847174495,82117.67079443196,88691.93077917493,-6574.2599847429665,135098.50800422998,113140.47611125608,520670.64179610356
2019-03-31,411387.26123787044,321825.3805786721,89561.88065919832,62033.03942097709,66608.43642615678,-4575.397005179693,146751.31116360662,100260.30421818953,519911.3076042646
2019-06-30,415702.78209335054,325437.1106775034,90265.67141584716,81936.027186974,81731.87950625633,204.14768071766593,147566.13621182935,116344.57842650013,528860.3670656538
2019-09-30,433509.43563015613,341600.5733924765,91908.86223767964,77411.97349672685,80548.55788886936,-3136.584392142511,149709.43489775588,124270.21041015927,536360.6336144796
2019-12-31,454882.6763752709,358475.0349595868,96407.64141568409,94644.32928416043,103648.88056582067,-9004.551281660242,155024.4350028937,130955.06747658431,573596.3731857407
2020-03-31,446846.4056682361,348642.5753937448,98203.83027449125,86861.7688661674,76622.369747035,10239.399119132402,146412.22856628653,121501.67505126398,558618.728049426
2020-06-30,406199.1641243316,309088.47875204316,97110.68537228846,92966.2717636642,81338.32799481496,11627.943768849247,132891.6787792453,105447.06283008783,526610.0518371533
2020-09-30,445692.2893200532,346927.5778581422,98764.711461911,84786.20506485307,87128.7141074476,-2342.5090425945236,136249.28231186906,113969.90923065593,552757.8674661194
2020-12-31,472753.6590353326,368755.8358645163,103997.8231708163,118371.20659870643,123422.63396562333,-5051.427366916905,156138.07399279415,132125.5710933687,615137.3685334645
2021-03-31,466996.3026831506,360387.53497084684,106608.7677123038,115395.34298983819,98100.04871436284,17295.294275475346,149273.72896509038,130347.96623070785,601317.4084073714
